time,open,high,low,close,volume
2024-11-26,1.04932,1.05448,1.04251,1.04893,79460
2024-11-27,1.0483,1.05877,1.04742,1.05665,69992
2024-11-28,1.05658,1.05698,1.05275,1.05538,44088
2024-11-29,1.05489,1.05973,1.05416,1.05759,70306
2024-12-02,1.05615,1.05704,1.04606,1.04977,80068
2024-12-03,1.04974,1.05351,1.04808,1.05094,63878
2024-12-04,1.05074,1.05442,1.04723,1.051,69809
2024-12-05,1.05076,1.05896,1.05039,1.05874,58073
2024-12-06,1.05835,1.06298,1.05423,1.05678,61119
2024-12-09,1.05555,1.05943,1.05322,1.05536,53202
2024-12-10,1.05531,1.05683,1.04985,1.05272,52730
2024-12-11,1.05271,1.05393,1.04802,1.0495700000000001,64471
2024-12-12,1.04931,1.05309,1.04638,1.04663,69557
2024-12-13,1.04664,1.05243,1.04531,1.05031,56891
2024-12-16,1.0485,1.05248,1.04746,1.05114,53594
2024-12-17,1.05105,1.05343,1.04793,1.04915,54503
2024-12-18,1.04907,1.05128,1.03437,1.03495,67069
2024-12-19,1.03514,1.04224,1.0344,1.03629,82594
2024-12-20,1.0365,1.04475,1.03431,1.04268,70407
2024-12-23,1.04307,1.04455,1.03842,1.04062,46329
2024-12-24,1.0405,1.04102,1.03836,1.03925,32554
2024-12-26,1.0398,1.043,1.03904,1.04229,33023
2024-12-27,1.0413000000000001,1.04441,1.04051,1.04229,41891
2024-12-30,1.04163,1.04584,1.03718,1.04064,48970
2024-12-31,1.04068,1.04245,1.03442,1.03527,50765
2025-01-02,1.03515,1.03756,1.02243,1.0267,66106
2025-01-03,1.02572,1.03099,1.02529,1.0308,48141
2025-01-06,1.03021,1.04369,1.02955,1.03897,75691
2025-01-07,1.03896,1.04345,1.03396,1.03398,63432
2025-01-08,1.03401,1.03577,1.02732,1.03191,66125
2025-01-09,1.03181,1.03216,1.02836,1.02994,46016
2025-01-10,1.02989,1.03119,1.02134,1.02424,67511
2025-01-13,1.02236,1.02499,1.01773,1.02424,65960
2025-01-14,1.02443,1.03084,1.02379,1.03077,68166
2025-01-15,1.03047,1.03544,1.02593,1.02902,61251
2025-01-16,1.02884,1.03152,1.02608,1.03019,64971
2025-01-17,1.02956,1.03307,1.02653,1.027,58476
2025-01-20,1.0275,1.04343,1.02663,1.04168,66391
2025-01-21,1.04156,1.04354,1.0342,1.04234,79839
2025-01-22,1.04247,1.04573,1.03924,1.04093,56664
2025-01-23,1.04083,1.04381,1.0372,1.04151,58946
2025-01-24,1.0415,1.05215,1.04115,1.04942,66349
2025-01-27,1.04597,1.05331,1.04538,1.04914,72899
2025-01-28,1.04915,1.04933,1.04138,1.04305,66832
2025-01-29,1.043,1.04437,1.03824,1.04196,67908
2025-01-30,1.04207,1.04677,1.03862,1.03919,65137
2025-01-31,1.03882,1.0434,1.03503,1.03578,79112
2025-02-03,1.02357,1.03499,1.02107,1.03426,112681
2025-02-04,1.03436,1.03877,1.02723,1.03789,72407
2025-02-05,1.03785,1.04427,1.03696,1.04025,66606
2025-02-06,1.0402,1.04056,1.03526,1.03828,58480
2025-02-07,1.03831,1.04094,1.03053,1.03279,67243
2025-02-10,1.02889,1.0336400000000001,1.02814,1.03066,51850
2025-02-11,1.03065,1.03816,1.02923,1.03612,49376
2025-02-12,1.03609,1.04298,1.0317,1.03832,69681
2025-02-13,1.03823,1.04665,1.03732,1.04657,75924
